,index,Date/Time,Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
10453,1669,2012-03-10 13:00:00,-3.2,-11.3,53,7,48.3,102.89,Mainly Clear
10454,1670,2012-03-10 14:00:00,-2.6,-11.1,52,15,48.3,102.84,Mostly Cloudy
10455,1671,2012-03-10 15:00:00,-2.7,-10.2,56,11,48.3,102.75,Mostly Cloudy
10456,1672,2012-03-10 16:00:00,-1.8,-10.3,52,13,48.3,102.71,Mainly Clear
10457,1673,2012-03-10 17:00:00,-1.6,-10.0,53,17,48.3,102.68,Mainly Clear
10458,1674,2012-03-10 18:00:00,-2.1,-10.1,54,9,25.0,102.66,Mainly Clear
10459,1675,2012-03-10 19:00:00,-1.9,-9.4,56,9,25.0,102.67,Mainly Clear
10460,1676,2012-03-10 20:00:00,-2.3,-8.0,65,11,25.0,102.6,Mostly Cloudy
10461,1677,2012-03-10 21:00:00,-2.3,-8.1,64,11,25.0,102.54,Mostly Cloudy
10462,1678,2012-03-10 22:00:00,-2.0,-7.1,68,11,25.0,102.5,Snow Showers
10463,1679,2012-03-10 23:00:00,-1.7,-7.1,67,7,25.0,102.45,Cloudy
10464,1680,2012-03-11 00:00:00,-3.1,-7.2,73,7,25.0,102.36,Mainly Clear
10465,1681,2012-03-11 01:00:00,-3.2,-6.9,76,7,25.0,102.28,Mainly Clear
10466,1682,2012-03-11 02:00:00,-3.1,-7.1,74,7,25.0,102.18,Mainly Clear
10467,1683,2012-03-11 03:00:00,-2.2,-7.0,70,17,25.0,102.05,Cloudy
10468,1684,2012-03-11 04:00:00,-1.7,-6.9,68,13,25.0,102.02,Cloudy
10469,1685,2012-03-11 05:00:00,-2.1,-7.0,69,11,25.0,101.98,Mainly Clear
10470,1686,2012-03-11 06:00:00,-1.5,-6.7,68,7,48.3,101.98,Cloudy
10471,1687,2012-03-11 07:00:00,-1.8,-6.9,68,11,48.3,101.97,Clear
10472,1688,2012-03-11 08:00:00,0.1,-6.2,63,7,48.3,102.0,Clear
10473,1689,2012-03-11 09:00:00,2.7,-5.9,53,7,48.3,101.98,Mainly Clear
10474,1690,2012-03-11 10:00:00,3.8,-5.7,50,13,48.3,101.97,Clear
10475,1691,2012-03-11 11:00:00,5.9,-4.2,48,11,48.3,101.92,Clear
10476,1692,2012-03-11 12:00:00,6.8,-3.2,49,24,48.3,101.86,Clear
10477,1693,2012-03-11 13:00:00,9.0,-1.9,46,20,48.3,101.79,Clear
10478,1694,2012-03-11 14:00:00,9.5,-1.6,46,24,48.3,101.74,Clear
10479,1695,2012-03-11 15:00:00,10.5,-1.3,44,20,48.3,101.69,Clear
10480,1696,2012-03-11 16:00:00,10.9,-0.7,45,15,48.3,101.65,Clear
10481,1697,2012-03-11 17:00:00,10.7,-0.6,45,11,48.3,101.65,Clear
10482,1698,2012-03-11 18:00:00,9.1,-1.0,49,7,25.0,101.68,Clear
10483,1699,2012-03-11 19:00:00,7.4,-1.2,54,6,25.0,101.69,Clear
10484,1700,2012-03-11 20:00:00,4.8,-1.5,64,9,48.3,101.7,Clear
10485,1701,2012-03-11 21:00:00,4.8,-1.6,63,13,25.0,101.72,Mainly Clear
10486,1702,2012-03-11 22:00:00,5.2,-1.9,60,6,25.0,101.72,Clear
10487,1703,2012-03-11 23:00:00,6.1,-2.0,56,7,25.0,101.75,Clear
10488,1704,2012-03-12 00:00:00,6.0,-1.8,57,20,25.0,101.77,Clear
10489,1705,2012-03-12 01:00:00,5.2,-1.8,61,17,25.0,101.77,Mainly Clear
10490,1706,2012-03-12 02:00:00,4.6,-2.1,62,9,25.0,101.77,Mainly Clear
10491,1707,2012-03-12 03:00:00,1.5,-2.8,73,11,25.0,101.78,Mainly Clear
10492,1708,2012-03-12 04:00:00,1.8,-2.6,73,4,25.0,101.8,Mainly Clear
10493,1709,2012-03-12 05:00:00,2.3,-1.9,74,9,25.0,101.82,Clear
10494,1710,2012-03-12 06:00:00,3.1,-1.8,70,11,48.3,101.89,Clear
10495,1711,2012-03-12 07:00:00,2.6,-2.3,70,4,48.3,101.98,Mainly Clear
10496,1712,2012-03-12 08:00:00,4.4,-1.0,68,6,48.3,102.03,Mainly Clear
10497,1713,2012-03-12 09:00:00,6.5,-0.2,62,0,48.3,102.03,Mostly Cloudy
10498,1714,2012-03-12 10:00:00,8.3,0.2,57,9,24.1,102.0,Cloudy
10499,1715,2012-03-12 11:00:00,10.6,0.3,49,6,24.1,101.99,Cloudy
10500,1716,2012-03-12 12:00:00,10.8,0.4,49,9,48.3,101.94,Mostly Cloudy
10501,1717,2012-03-12 13:00:00,11.6,0.6,47,13,48.3,101.84,Mostly Cloudy
10502,1718,2012-03-12 14:00:00,12.3,1.4,47,6,48.3,101.79,Mostly Cloudy
10503,1719,2012-03-12 15:00:00,12.4,0.6,44,4,48.3,101.71,Cloudy
10504,1720,2012-03-12 16:00:00,11.8,1.2,48,4,25.0,101.64,Cloudy
10505,1721,2012-03-12 17:00:00,11.6,1.0,48,6,24.1,101.57,Cloudy
10506,1722,2012-03-12 18:00:00,9.0,1.1,58,13,25.0,101.54,Cloudy
10507,1723,2012-03-12 19:00:00,8.7,1.1,59,13,25.0,101.5,Cloudy
10508,1724,2012-03-12 20:00:00,9.2,1.4,58,13,25.0,101.44,Cloudy
10509,1725,2012-03-12 21:00:00,8.4,1.0,60,13,25.0,101.39,Mostly Cloudy
10510,1726,2012-03-12 22:00:00,7.9,0.7,60,11,25.0,101.35,Mostly Cloudy
10511,1727,2012-03-12 23:00:00,6.6,-0.3,61,11,25.0,101.22,Mostly Cloudy
10512,1728,2012-03-13 00:00:00,7.5,-0.7,56,13,25.0,101.11,Mostly Cloudy
10513,1729,2012-03-13 01:00:00,5.1,-0.9,65,13,25.0,101.07,Rain Showers
10514,1730,2012-03-13 02:00:00,4.8,-1.0,66,6,25.0,101.05,Rain Showers
10515,1731,2012-03-13 03:00:00,4.6,-0.2,71,15,25.0,100.87,Cloudy
10516,1732,2012-03-13 04:00:00,6.5,1.1,68,7,25.0,100.74,Cloudy
10517,1733,2012-03-13 05:00:00,5.8,1.1,72,6,25.0,100.71,Cloudy
10518,1734,2012-03-13 06:00:00,7.4,1.8,68,9,19.3,100.6,Cloudy
10519,1735,2012-03-13 07:00:00,4.0,1.0,81,11,9.7,100.61,"Rain,Haze"
10520,1736,2012-03-13 08:00:00,5.5,2.9,83,7,6.4,100.5,"Rain,Haze"
10521,1737,2012-03-13 09:00:00,4.4,2.3,86,17,4.0,100.51,"Rain,Haze"
10522,1738,2012-03-13 10:00:00,3.5,1.5,87,11,2.4,100.54,"Drizzle,Fog"
10523,1739,2012-03-13 11:00:00,3.5,1.6,87,11,4.8,100.57,"Drizzle,Fog"
10524,1740,2012-03-13 12:00:00,3.9,2.2,89,9,4.8,100.64,Fog
10525,1741,2012-03-13 13:00:00,4.9,3.0,87,7,6.4,100.63,Fog
10526,1742,2012-03-13 14:00:00,6.5,4.5,87,7,6.4,100.61,Fog
10527,1743,2012-03-13 15:00:00,5.3,3.3,87,11,8.0,100.63,Fog
10528,1744,2012-03-13 16:00:00,5.5,2.8,83,11,8.0,100.67,Haze
10529,1745,2012-03-13 17:00:00,4.9,2.2,83,17,8.0,100.68,Haze
10530,1746,2012-03-13 18:00:00,4.0,1.5,84,13,8.0,100.73,Haze
10531,1747,2012-03-13 19:00:00,3.1,0.9,85,17,6.4,100.79,"Drizzle,Fog"
10532,1748,2012-03-13 20:00:00,2.6,0.3,85,17,6.4,100.77,Haze
10533,1749,2012-03-13 21:00:00,1.1,-1.0,86,20,4.8,100.87,"Rain,Fog"
10534,1750,2012-03-13 22:00:00,1.4,-0.7,86,6,6.4,100.93,Haze
10535,1751,2012-03-13 23:00:00,1.1,-0.9,86,9,4.8,100.98,Haze
10536,1752,2012-03-14 00:00:00,0.7,-1.0,88,7,3.2,101.02,Fog
10537,1753,2012-03-14 01:00:00,0.7,-0.9,89,7,1.0,101.06,Fog
10538,1754,2012-03-14 02:00:00,0.6,-1.0,89,7,0.8,101.05,Fog
10539,1755,2012-03-14 03:00:00,0.8,-0.3,92,6,0.6,101.06,Fog
10540,1756,2012-03-14 04:00:00,0.8,-0.6,90,4,0.6,101.13,Fog
10541,1757,2012-03-14 05:00:00,0.7,-0.9,89,6,0.6,101.23,Fog
10542,1758,2012-03-14 06:00:00,0.6,-0.9,90,7,0.6,101.28,Fog
10543,1759,2012-03-14 07:00:00,0.8,-0.4,92,6,2.4,101.36,Fog
10544,1760,2012-03-14 08:00:00,1.1,-0.1,92,6,3.2,101.46,"Rain,Fog"
10545,1761,2012-03-14 09:00:00,1.6,0.4,92,7,4.8,101.51,"Rain,Fog"
10546,1762,2012-03-14 10:00:00,1.1,0.5,96,7,2.4,101.57,"Snow,Fog"
10547,1763,2012-03-14 11:00:00,0.4,0.1,98,6,1.6,101.6,"Snow,Fog"
10548,1764,2012-03-14 12:00:00,1.0,0.8,99,4,2.0,101.65,"Snow,Fog"
10549,1765,2012-03-14 13:00:00,2.1,1.8,98,4,4.8,101.67,"Rain,Fog"
10550,1766,2012-03-14 14:00:00,2.2,1.8,97,7,8.0,101.7,"Drizzle,Fog"
10551,1767,2012-03-14 15:00:00,1.7,1.3,97,13,4.8,101.77,"Drizzle,Fog"
10552,1768,2012-03-14 16:00:00,1.5,1.2,98,13,8.0,101.82,"Drizzle,Fog"
10553,1769,2012-03-14 17:00:00,1.0,0.6,97,15,9.7,101.89,Fog
10554,1770,2012-03-14 18:00:00,0.5,0.1,97,17,9.7,101.99,"Drizzle,Fog"
10555,1771,2012-03-14 19:00:00,0.3,-0.2,96,15,8.0,102.07,"Snow,Fog"
10556,1772,2012-03-14 20:00:00,0.2,-0.5,95,15,12.9,102.13,Cloudy
10557,1773,2012-03-14 21:00:00,-0.1,-0.9,94,17,12.9,102.17,Cloudy
10558,1774,2012-03-14 22:00:00,-0.3,-1.3,93,20,12.9,102.18,Cloudy
10559,1775,2012-03-14 23:00:00,-0.6,-1.6,93,15,12.9,102.23,Cloudy
10560,1776,2012-03-15 00:00:00,-0.6,-1.7,92,19,12.9,102.24,Cloudy
10561,1777,2012-03-15 01:00:00,-0.6,-1.7,92,19,12.9,102.27,Cloudy
10562,1778,2012-03-15 02:00:00,-0.4,-1.5,92,13,12.9,102.29,Cloudy
10563,1779,2012-03-15 03:00:00,-0.3,-1.5,92,11,12.9,102.25,Cloudy
10564,1780,2012-03-15 04:00:00,-0.2,-1.3,92,17,12.9,102.26,Cloudy
10565,1781,2012-03-15 05:00:00,-0.3,-1.5,92,15,12.9,102.34,Cloudy
10566,1782,2012-03-15 06:00:00,-0.3,-1.6,91,20,16.1,102.36,Cloudy
10567,1783,2012-03-15 07:00:00,-0.5,-1.9,90,13,16.1,102.4,Cloudy
10568,1784,2012-03-15 08:00:00,-0.5,-2.1,89,17,19.3,102.42,Cloudy
10569,1785,2012-03-15 09:00:00,-0.3,-2.0,88,20,16.1,102.39,Cloudy
10570,1786,2012-03-15 10:00:00,0.4,-1.6,86,22,19.3,102.31,Cloudy
10571,1787,2012-03-15 11:00:00,1.1,-1.3,84,19,24.1,102.23,Cloudy
10572,1788,2012-03-15 12:00:00,2.2,-0.7,81,19,24.1,102.18,Cloudy
10573,1789,2012-03-15 13:00:00,3.4,0.0,78,22,24.1,102.12,Cloudy
10574,1790,2012-03-15 14:00:00,3.4,-0.1,78,22,24.1,102.05,Cloudy
10575,1791,2012-03-15 15:00:00,4.0,0.6,78,24,24.1,102.0,Mostly Cloudy
10576,1792,2012-03-15 16:00:00,3.5,0.1,78,20,24.1,101.99,Mostly Cloudy
10577,1793,2012-03-15 17:00:00,3.0,-0.3,79,26,24.1,101.98,Mostly Cloudy
10578,1794,2012-03-15 18:00:00,2.6,-0.3,81,22,24.1,101.98,Rain Showers
10579,1795,2012-03-15 19:00:00,2.4,-0.4,82,28,25.0,101.88,Mostly Cloudy
10580,1796,2012-03-15 20:00:00,2.3,-0.2,84,24,25.0,101.86,Mostly Cloudy
10581,1797,2012-03-15 21:00:00,2.0,0.4,89,28,25.0,101.8,Rain Showers
10582,1798,2012-03-15 22:00:00,2.1,0.5,89,20,25.0,101.77,Mostly Cloudy
10583,1799,2012-03-15 23:00:00,1.8,0.2,89,19,25.0,101.7,Mostly Cloudy
10584,1800,2012-03-16 00:00:00,1.8,0.4,90,19,25.0,101.67,Cloudy
10585,1801,2012-03-16 01:00:00,1.9,0.6,91,15,25.0,101.54,Rain Showers
10586,1802,2012-03-16 02:00:00,1.1,0.2,94,17,12.9,101.56,Rain
10587,1803,2012-03-16 03:00:00,1.1,0.5,96,19,6.4,101.46,Rain
10588,1804,2012-03-16 04:00:00,1.0,0.5,96,17,4.8,101.39,Rain
10589,1805,2012-03-16 05:00:00,0.7,0.3,97,20,4.8,101.36,Rain
10590,1806,2012-03-16 06:00:00,0.6,0.2,97,24,6.4,101.39,"Rain,Fog"
10591,1807,2012-03-16 07:00:00,1.1,0.6,96,19,4.8,101.37,"Rain,Fog"
10592,1808,2012-03-16 08:00:00,1.1,0.7,97,15,4.0,101.38,"Rain,Fog"
10593,1809,2012-03-16 09:00:00,1.1,0.7,97,17,4.0,101.41,"Rain,Fog"
10594,1810,2012-03-16 10:00:00,1.5,1.1,97,13,4.8,101.41,"Rain,Fog"
10595,1811,2012-03-16 11:00:00,1.8,1.3,96,13,8.0,101.4,"Rain,Fog"
10596,1812,2012-03-16 12:00:00,2.5,2.0,96,6,8.0,101.42,Fog
10597,1813,2012-03-16 13:00:00,3.3,2.8,97,6,9.7,101.38,Fog
10598,1814,2012-03-16 14:00:00,4.0,3.2,95,11,9.7,101.4,Fog
10599,1815,2012-03-16 15:00:00,3.7,3.2,97,7,6.4,101.48,Fog
10600,1816,2012-03-16 16:00:00,4.3,3.5,95,4,8.0,101.53,Fog
10601,1817,2012-03-16 17:00:00,4.1,3.2,94,7,8.0,101.61,Fog
10602,1818,2012-03-16 18:00:00,3.8,3.2,96,7,4.8,101.71,"Drizzle,Fog"
10603,1819,2012-03-16 19:00:00,3.8,3.2,96,0,3.2,101.77,"Drizzle,Fog"
10604,1820,2012-03-16 20:00:00,3.7,3.3,97,0,2.0,101.93,"Drizzle,Fog"
10605,1821,2012-03-16 21:00:00,4.0,3.7,98,7,3.2,101.93,"Drizzle,Fog"
10606,1822,2012-03-16 22:00:00,3.8,3.4,97,0,6.4,102.04,"Drizzle,Fog"
10607,1823,2012-03-16 23:00:00,3.7,3.3,97,0,3.2,102.07,"Drizzle,Fog"
10608,1824,2012-03-17 00:00:00,3.8,3.5,98,4,1.6,102.05,"Drizzle,Fog"
10609,1825,2012-03-17 01:00:00,3.0,2.7,98,6,0.6,102.05,Fog
10610,1826,2012-03-17 02:00:00,2.7,2.5,99,4,0.2,102.09,Fog
10611,1827,2012-03-17 03:00:00,1.8,1.6,99,4,0.2,102.1,Fog
10612,1828,2012-03-17 04:00:00,0.3,0.1,99,0,0.2,102.15,Fog
10613,1829,2012-03-17 05:00:00,-0.1,-0.3,99,0,0.8,102.2,Freezing Fog
10614,1830,2012-03-17 06:00:00,-0.1,-0.4,98,4,0.2,102.26,Freezing Fog
10615,1831,2012-03-17 07:00:00,0.5,0.4,99,0,0.2,102.34,Fog
10616,1832,2012-03-17 08:00:00,1.0,0.9,99,0,0.2,102.39,Fog
10617,1833,2012-03-17 09:00:00,1.6,1.5,99,4,0.2,102.38,Fog
10618,1834,2012-03-17 10:00:00,2.6,2.6,100,0,0.2,102.37,Fog
10619,1835,2012-03-17 11:00:00,4.1,3.8,98,4,0.6,102.34,Fog
10620,1836,2012-03-17 12:00:00,5.7,5.3,97,4,9.7,102.32,Fog
10621,1837,2012-03-17 13:00:00,8.1,6.2,88,7,16.1,102.18,Cloudy
10622,1838,2012-03-17 14:00:00,9.2,4.3,71,7,24.1,102.13,Cloudy
10623,1839,2012-03-17 15:00:00,10.2,4.4,67,6,24.1,102.07,Cloudy
10624,1840,2012-03-17 16:00:00,10.5,4.1,65,7,48.3,102.02,Cloudy
10625,1841,2012-03-17 17:00:00,10.1,4.7,69,9,48.3,101.97,Cloudy
10626,1842,2012-03-17 18:00:00,10.1,5.4,73,7,48.3,101.95,Cloudy
10627,1843,2012-03-17 19:00:00,9.8,5.9,77,6,25.0,101.93,Cloudy
10628,1844,2012-03-17 20:00:00,9.3,5.2,76,0,25.0,101.92,Cloudy
10629,1845,2012-03-17 21:00:00,8.8,5.5,80,4,25.0,101.8,Mostly Cloudy
10630,1846,2012-03-17 22:00:00,7.7,4.9,82,0,25.0,101.77,Mainly Clear
10631,1847,2012-03-17 23:00:00,6.7,4.7,87,7,25.0,101.78,Mainly Clear
10632,1848,2012-03-18 00:00:00,3.8,2.8,93,4,25.0,101.75,Mainly Clear
10633,1849,2012-03-18 01:00:00,5.2,3.5,89,0,25.0,101.74,Mostly Cloudy
10634,1850,2012-03-18 02:00:00,4.3,3.0,91,6,25.0,101.71,Mainly Clear
10635,1851,2012-03-18 03:00:00,3.9,2.4,90,7,25.0,101.66,Clear
10636,1852,2012-03-18 04:00:00,3.2,2.3,94,6,25.0,101.69,Clear
10637,1853,2012-03-18 05:00:00,3.5,2.4,92,6,25.0,101.7,Clear
10638,1854,2012-03-18 06:00:00,3.6,2.6,93,7,24.1,101.72,Clear
10639,1855,2012-03-18 07:00:00,5.1,3.7,91,4,48.3,101.78,Mainly Clear
10640,1856,2012-03-18 08:00:00,8.8,5.8,81,11,48.3,101.79,Mainly Clear
10641,1857,2012-03-18 09:00:00,10.4,6.6,77,11,48.3,101.81,Mainly Clear
10642,1858,2012-03-18 10:00:00,11.9,6.7,70,13,48.3,101.78,Mainly Clear
10643,1859,2012-03-18 11:00:00,14.1,7.6,65,13,48.3,101.71,Clear
10644,1860,2012-03-18 12:00:00,17.3,8.7,57,11,48.3,101.63,Clear
10645,1861,2012-03-18 13:00:00,20.0,9.9,52,15,48.3,101.55,Mainly Clear
10646,1862,2012-03-18 14:00:00,21.7,10.5,49,13,48.3,101.45,Mainly Clear
10647,1863,2012-03-18 15:00:00,22.2,10.4,47,15,48.3,101.39,Mainly Clear
10648,1864,2012-03-18 16:00:00,22.7,10.7,47,11,48.3,101.35,Mainly Clear
10649,1865,2012-03-18 17:00:00,21.8,11.0,50,6,48.3,101.32,Mostly Cloudy
10650,1866,2012-03-18 18:00:00,18.4,10.1,58,9,48.3,101.32,Mostly Cloudy
10651,1867,2012-03-18 19:00:00,17.1,9.8,62,0,25.0,101.3,Mainly Clear
10652,1868,2012-03-18 20:00:00,12.8,8.6,76,7,25.0,101.34,Clear
10653,1869,2012-03-18 21:00:00,13.4,9.2,76,4,25.0,101.37,Mainly Clear
10654,1870,2012-03-18 22:00:00,12.6,8.9,78,7,25.0,101.39,Mainly Clear
10655,1871,2012-03-18 23:00:00,10.6,7.9,83,6,25.0,101.37,Mainly Clear
10656,1872,2012-03-19 00:00:00,9.8,7.6,86,6,25.0,101.37,Mainly Clear
10657,1873,2012-03-19 01:00:00,10.8,8.5,86,6,25.0,101.39,Clear
10658,1874,2012-03-19 02:00:00,10.6,8.6,87,4,25.0,101.42,Clear
10659,1875,2012-03-19 03:00:00,10.2,8.3,88,11,25.0,101.42,Clear
10660,1876,2012-03-19 04:00:00,11.2,9.0,86,6,25.0,101.49,Clear
10661,1877,2012-03-19 05:00:00,9.7,8.1,90,7,25.0,101.5,Clear
10662,1878,2012-03-19 06:00:00,11.3,9.4,88,4,24.1,101.56,Mainly Clear
10663,1879,2012-03-19 07:00:00,9.9,8.5,91,0,12.9,101.59,Mostly Cloudy
10664,1880,2012-03-19 08:00:00,11.9,9.9,88,7,12.9,101.67,Mostly Cloudy
10665,1881,2012-03-19 09:00:00,13.9,10.5,80,6,12.9,101.71,Mainly Clear
10666,1882,2012-03-19 10:00:00,15.6,11.0,74,6,16.1,101.75,Mainly Clear
10667,1883,2012-03-19 11:00:00,17.8,11.6,67,4,16.1,101.75,Mainly Clear
10668,1884,2012-03-19 12:00:00,19.8,12.0,61,4,19.3,101.75,Mainly Clear
10669,1885,2012-03-19 13:00:00,18.5,11.0,62,19,19.3,101.72,Mainly Clear
10670,1886,2012-03-19 14:00:00,17.0,9.9,63,15,24.1,101.72,Mainly Clear
10671,1887,2012-03-19 15:00:00,16.3,10.0,66,17,24.1,101.71,Mainly Clear
10672,1888,2012-03-19 16:00:00,16.6,9.7,64,11,24.1,101.66,Mainly Clear
10673,1889,2012-03-19 17:00:00,15.9,9.1,64,13,24.1,101.66,Mainly Clear
10674,1890,2012-03-19 18:00:00,13.9,7.9,67,19,24.1,101.67,Mainly Clear
10675,1891,2012-03-19 19:00:00,12.5,6.7,68,15,25.0,101.71,Mainly Clear
10676,1892,2012-03-19 20:00:00,10.6,5.4,70,13,25.0,101.8,Mainly Clear
10677,1893,2012-03-19 21:00:00,9.5,4.1,69,15,25.0,101.8,Clear
10678,1894,2012-03-19 22:00:00,8.8,2.7,66,17,25.0,101.83,Clear
10679,1895,2012-03-19 23:00:00,7.2,1.8,69,9,25.0,101.86,Clear
10680,1896,2012-03-20 00:00:00,7.1,1.0,65,11,25.0,101.85,Clear
10681,1897,2012-03-20 01:00:00,6.1,0.7,68,11,25.0,101.85,Clear
10682,1898,2012-03-20 02:00:00,5.7,0.4,69,11,25.0,101.85,Clear
10683,1899,2012-03-20 03:00:00,5.2,0.2,70,7,25.0,101.86,Clear
10684,1900,2012-03-20 04:00:00,5.2,-0.2,68,4,25.0,101.88,Clear
10685,1901,2012-03-20 05:00:00,5.0,-0.3,69,7,25.0,101.92,Clear
10686,1902,2012-03-20 06:00:00,3.2,-0.6,76,4,24.1,101.97,Clear
10687,1903,2012-03-20 07:00:00,5.5,-0.1,67,4,24.1,102.0,Clear
10688,1904,2012-03-20 08:00:00,8.0,0.6,60,6,24.1,102.08,Clear
10689,1905,2012-03-20 09:00:00,10.6,1.3,53,0,19.3,102.09,Mainly Clear
10690,1906,2012-03-20 10:00:00,12.6,2.6,50,4,24.1,102.07,Mainly Clear
10691,1907,2012-03-20 11:00:00,14.9,4.0,48,6,24.1,102.02,Clear
10692,1908,2012-03-20 12:00:00,16.5,6.7,52,9,24.1,101.98,Clear
10693,1909,2012-03-20 13:00:00,20.0,10.8,55,13,24.1,101.93,Clear
10694,1910,2012-03-20 14:00:00,21.5,11.8,54,11,24.1,101.83,Clear
10695,1911,2012-03-20 15:00:00,22.5,12.3,52,9,24.1,101.78,Clear
10696,1912,2012-03-20 16:00:00,23.3,12.1,49,7,24.1,101.73,Clear
10697,1913,2012-03-20 17:00:00,22.0,12.1,53,7,24.1,101.72,Clear
10698,1914,2012-03-20 18:00:00,19.7,11.7,60,4,24.1,101.74,Clear
10699,1915,2012-03-20 19:00:00,17.5,10.9,65,6,25.0,101.79,Clear
10700,1916,2012-03-20 20:00:00,18.1,11.6,66,4,25.0,101.85,Clear
10701,1917,2012-03-20 21:00:00,16.0,10.9,72,6,25.0,101.89,Clear
10702,1918,2012-03-20 22:00:00,14.2,10.3,77,4,25.0,101.9,Clear
10703,1919,2012-03-20 23:00:00,14.3,10.7,79,6,25.0,101.91,Clear
10704,1920,2012-03-21 00:00:00,14.0,11.0,82,9,25.0,101.9,Clear
10705,1921,2012-03-21 01:00:00,12.4,10.5,88,4,25.0,101.92,Clear
10706,1922,2012-03-21 02:00:00,11.8,10.3,91,6,25.0,101.93,Clear
10707,1923,2012-03-21 03:00:00,11.4,9.8,90,4,25.0,101.93,Clear
10708,1924,2012-03-21 04:00:00,10.6,9.1,90,0,25.0,101.95,Clear
10709,1925,2012-03-21 05:00:00,10.0,8.8,92,0,25.0,102.02,Clear
10710,1926,2012-03-21 06:00:00,9.5,8.6,94,4,9.7,102.07,Fog
10711,1927,2012-03-21 07:00:00,11.3,9.9,91,4,9.7,102.1,Fog
10712,1928,2012-03-21 08:00:00,13.8,11.5,86,9,12.9,102.15,Clear
10713,1929,2012-03-21 09:00:00,15.9,11.8,77,7,19.3,102.17,Clear
10714,1930,2012-03-21 10:00:00,18.2,12.5,69,13,24.1,102.09,Clear
10715,1931,2012-03-21 11:00:00,20.2,12.3,60,15,24.1,102.01,Clear
10716,1932,2012-03-21 12:00:00,22.3,12.6,54,15,24.1,101.94,Clear
10717,1933,2012-03-21 13:00:00,23.8,12.1,48,17,24.1,101.85,Clear
10718,1934,2012-03-21 14:00:00,24.7,12.1,45,13,24.1,101.77,Clear
10719,1935,2012-03-21 15:00:00,25.4,12.0,43,17,48.3,101.72,Clear
10720,1936,2012-03-21 16:00:00,25.5,11.0,40,17,48.3,101.69,Clear
10721,1937,2012-03-21 17:00:00,25.2,10.7,40,13,48.3,101.68,Clear
10722,1938,2012-03-21 18:00:00,20.7,9.7,49,9,48.3,101.67,Clear
10723,1939,2012-03-21 19:00:00,17.2,9.1,59,6,25.0,101.67,Clear
10724,1940,2012-03-21 20:00:00,18.4,8.9,54,7,25.0,101.7,Clear
10725,1941,2012-03-21 21:00:00,16.4,9.7,65,13,25.0,101.68,Clear
10726,1942,2012-03-21 22:00:00,18.0,10.5,62,7,25.0,101.66,Clear
10727,1943,2012-03-21 23:00:00,16.5,9.5,63,7,25.0,101.66,Clear
10728,1944,2012-03-22 00:00:00,17.0,9.1,60,13,25.0,101.63,Clear
10729,1945,2012-03-22 01:00:00,15.5,8.7,64,11,25.0,101.62,Clear
10730,1946,2012-03-22 02:00:00,15.0,8.7,66,7,25.0,101.59,Clear
10731,1947,2012-03-22 03:00:00,11.0,7.4,78,9,25.0,101.56,Clear
10732,1948,2012-03-22 04:00:00,13.2,8.4,73,6,25.0,101.54,Clear
10733,1949,2012-03-22 05:00:00,12.8,8.5,75,13,25.0,101.59,Clear
10734,1950,2012-03-22 06:00:00,13.7,9.0,73,15,48.3,101.57,Mostly Cloudy
10735,1951,2012-03-22 07:00:00,14.2,9.5,73,22,24.1,101.55,Mainly Clear
10736,1952,2012-03-22 08:00:00,15.4,9.9,70,15,24.1,101.55,Mainly Clear
10737,1953,2012-03-22 09:00:00,17.3,10.4,64,22,24.1,101.53,Mainly Clear
10738,1954,2012-03-22 10:00:00,19.6,11.4,59,17,24.1,101.57,Mainly Clear
10739,1955,2012-03-22 11:00:00,20.4,11.9,58,15,24.1,101.52,Mainly Clear
10740,1956,2012-03-22 12:00:00,23.0,12.0,50,20,24.1,101.5,Mostly Cloudy
10741,1957,2012-03-22 13:00:00,23.3,12.1,49,19,24.1,101.43,Mostly Cloudy
10742,1958,2012-03-22 14:00:00,22.8,12.6,53,17,24.1,101.4,Cloudy
10743,1959,2012-03-22 15:00:00,21.4,12.8,58,6,24.1,101.38,Cloudy
10744,1960,2012-03-22 16:00:00,22.2,12.3,53,13,24.1,101.33,Mostly Cloudy
10745,1961,2012-03-22 17:00:00,20.0,12.2,61,11,24.1,101.39,Mostly Cloudy
10746,1962,2012-03-22 18:00:00,18.2,11.5,65,19,24.1,101.48,Rain Showers
10747,1963,2012-03-22 19:00:00,16.7,9.4,62,13,25.0,101.52,Rain Showers
10748,1964,2012-03-22 20:00:00,15.1,8.5,65,11,25.0,101.58,Mainly Clear
10749,1965,2012-03-22 21:00:00,12.1,7.4,73,7,25.0,101.59,Mainly Clear
10750,1966,2012-03-22 22:00:00,11.0,6.8,75,7,25.0,101.61,Mainly Clear
10751,1967,2012-03-22 23:00:00,11.3,7.2,76,6,25.0,101.62,Clear
10752,1968,2012-03-23 00:00:00,10.4,7.1,80,7,25.0,101.67,Mainly Clear
10753,1969,2012-03-23 01:00:00,10.3,7.5,83,0,25.0,101.7,Mainly Clear
10754,1970,2012-03-23 02:00:00,8.9,6.5,85,9,25.0,101.71,Mainly Clear
10755,1971,2012-03-23 03:00:00,8.8,6.4,85,9,25.0,101.72,Mainly Clear
